x,y,crash,resto,roadlength,househol
121.5589316,24.98050449,244,16,9962.859355,338
121.567688,24.97986558,179,3,31870.4288,18
121.5673925,24.9826004,542,21,9360.956086,322
121.5592087,24.98132736,407,32,7578.438748,387
121.5599523,24.98150602,295,30,2977.903469,306
121.5687893,24.98396305,458,64,5295.023325,489
121.5859112,24.97660536,288,13,34043.57779,147
121.5606362,24.98504123,596,20,9854.714129,669
121.5609735,24.98657996,263,11,3546.252111,264
121.5459724,24.98672333,1079,19,10452.17677,474
121.56922,24.98519962,821,26,13265.73165,563
121.5593808,24.98871516,526,22,5651.442377,134
121.5409045,24.9894634,1030,106,5191.571991,405
121.5523771,24.98903563,1225,45,12869.8059,538
121.5617693,24.98884684,307,15,5378.489946,432
121.5373069,24.99185396,263,7,5873.278877,435
121.5652897,24.98839446,654,40,10678.9743,636
121.544154,24.99246257,320,24,4261.245587,424
121.5598092,24.99537995,301,10,5549.223815,450
121.584072,24.9865471,281,20,25233.05804,240
121.5362564,24.99521389,342,9,7709.50673,512
121.5417011,24.9929382,665,51,6883.889623,487
121.5453378,24.99706832,278,19,4521.651427,418
121.5411222,24.9949058,428,18,7473.722207,378
121.554087,24.9998603,886,54,6793.033618,427
121.5474591,24.9989574,301,22,7299.129337,473
121.5512856,25.0011715,479,7,4608.501591,506
121.5405738,24.99888739,380,7,5604.055591,405
121.5603075,24.99687685,703,32,5779.319287,204
121.5363827,25.00003833,273,29,4395.650624,563
121.5713512,24.99501459,748,9,8244.988547,466
121.5431216,25.00075182,445,17,5095.277535,341
121.5397039,25.00031895,475,21,3805.26465,416
121.5826525,24.99999573,1000,73,38736.91388,494
121.5515729,25.00184215,201,9,3566.40607,312
121.5355404,25.0041645,293,2,8081.992174,331
121.5690572,24.9987614,354,0,9343.51508,407
121.5388474,25.00435433,376,10,5981.23373,394
121.5516708,25.00306786,203,10,5922.022455,443
121.5379303,25.00721446,1478,11,15805.45465,540
121.5532778,25.00144332,651,13,4651.633281,281
121.5586915,25.00736546,591,3,10110.85169,376
121.5345002,25.01348977,1356,107,10767.41982,306
121.575626,24.9997669,1358,6,54505.97312,289
121.5301716,25.01354507,452,7,9443.559908,92
121.5326078,25.01629572,1009,120,5344.548001,255
121.5598616,25.01761675,196,1,12465.78266,34
121.5506429,25.01683443,893,20,9565.085921,446
121.5565914,25.0206478,553,7,10016.00285,338
121.5253743,25.02083707,684,3,11531.59154,434
121.4932063,25.02047506,102,8,7179.596347,315
121.4952807,25.01615321,663,20,11868.23151,499
121.5004624,25.01740704,937,24,14626.76296,358
121.5030953,25.0195464,220,7,6227.580181,504
121.5294508,25.01956052,866,113,8646.402884,866
121.5379967,25.0085007,3446,54,36374.37103,18
121.5542758,25.0203635,398,43,7450.720049,654
121.4918901,25.02076262,302,3,4502.752629,348
121.5589991,25.01853954,172,18,4042.954468,393
121.5301311,25.02346755,360,25,4877.054553,404
121.5168941,25.02181908,445,4,5967.583035,233
121.5706004,25.01972964,219,0,6480.687773,494
121.5238278,25.02150835,479,12,5854.221339,451
121.4960837,25.02136369,201,7,3222.313378,252
121.5507175,25.02197028,1207,18,10185.85655,485
121.5565493,25.02121945,496,28,4476.803878,534
121.492529,25.0220696,122,3,3915.407072,246
121.5502176,25.02242384,1285,18,8057.152963,338
121.5466595,25.02459727,928,7,5510.43741,191
121.5002504,25.0220601,291,23,3594.570394,373
121.5428515,25.02266879,680,91,6557.8285,778
121.5025096,25.0230469,136,14,2484.692067,358
121.5235664,25.02386991,763,42,5188.343524,586
121.5118826,25.02392394,330,2,8088.43474,232
121.5003986,25.025356,380,33,3420.836212,300
121.5334338,25.02606775,452,13,7774.743141,569
121.5299608,25.02638881,283,67,3544.642175,443
121.507074,25.0267374,173,13,941.6704916,309
121.4915661,25.02489982,472,13,7046.890006,418
121.5658235,25.0253675,189,7,5700.217866,521
121.5284547,25.02651441,827,57,6051.725341,669
121.5700078,25.023721,273,5,14909.46392,548
121.5216462,25.02409995,546,27,3266.507193,297
121.5181181,25.0262761,903,13,5210.928619,226
121.5164902,25.02178052,828,3,9135.533841,388
121.5559051,25.0270959,833,5,5045.376006,286
121.5625277,25.02551026,316,22,5472.311371,585
121.4941225,25.02645644,511,59,3532.853651,365
121.5459809,25.02562635,66,8,691.3484063,700
121.5440364,25.02570582,823,44,5663.908237,595
121.5517714,25.02646232,697,8,3917.958069,381
121.5433179,25.02640604,553,26,6068.56602,572
121.4951532,25.02873477,798,19,9116.527865,477
121.5091564,25.0249713,246,28,3060.222898,380
121.5115196,25.02427436,440,25,6678.473718,377
121.5490138,25.02752374,656,23,4345.152931,414
121.5034209,25.02602955,436,12,3340.213504,802
121.4997842,25.02632602,550,20,4298.976237,265
121.5005971,25.02930648,372,19,3557.67681,470
121.5227915,25.0271426,503,26,4059.841459,438
121.5602414,25.02590688,500,12,4489.099977,353
121.5023248,25.02963719,138,7,1837.711075,438
121.5566367,25.02685313,716,8,2145.838363,282
121.5263547,25.02887332,460,26,4222.61259,496
121.5541952,25.03014684,557,9,3341.208735,337
121.5427664,25.02781191,312,35,3260.352777,379
121.5075228,25.0302262,483,74,3619.440255,548
121.534792,25.02610561,651,13,5251.793701,509
121.5112798,25.02940215,455,12,4667.991877,206
121.5452527,25.02916093,554,23,5818.841695,446
121.5385032,25.02879911,219,10,3507.221029,590
121.5194337,25.03098802,1220,54,7973.4721,720
121.5152047,25.02977028,496,11,3664.109056,267
121.5225488,25.03229528,355,3,5474.492431,336
121.4955782,25.02878889,666,47,6914.590831,502
121.4985767,25.03270039,646,13,5349.949496,254
121.5649235,25.02814345,1057,20,7492.800583,800
121.5649339,25.02914219,759,14,5678.408525,493
121.5595453,25.03268592,694,24,3938.387962,473
121.5557441,25.03294769,613,41,5180.956054,527
121.5533003,25.03170197,501,28,4084.537322,467
121.5523658,25.03170468,898,15,6945.790935,437
121.5041647,25.03001996,468,6,3676.487914,221
121.546104,25.03318792,669,44,5247.054432,483
121.5427567,25.03325998,679,35,7554.491321,655
121.537084,25.03342386,1628,9,14933.24065,408
121.5695122,25.02675925,708,8,12016.78698,465
121.4914162,25.03203369,520,15,8001.001663,245
121.5305555,25.0327299,521,27,6726.03962,500
121.5017674,25.0330151,778,28,7609.679076,500
121.5275183,25.0320431,608,87,4607.987522,321
121.5594849,25.03308032,858,34,4389.022525,303
121.5190426,25.03370981,708,16,5331.834926,573
121.5175437,25.03263081,1363,66,8342.077259,373
121.4926625,25.03349821,974,9,16330.39197,656
121.4991991,25.03519907,446,19,6083.214082,428
121.5260663,25.03445156,402,11,4351.348395,233
121.5751147,25.0329372,205,17,5300.420437,459
121.4988244,25.03438165,1083,18,7032.578891,360
121.5137294,25.03174843,789,21,7203.957191,239
121.5073596,25.03684713,741,28,3534.004593,266
121.5793475,25.03147854,149,5,4393.737639,135
121.5612843,25.03742899,284,11,3668.62736,466
121.5556366,25.03492924,642,43,5804.965866,747
121.5526181,25.03331679,517,26,5040.283398,560
121.5277938,25.03614887,414,42,5205.93403,595
121.5491083,25.03753367,625,20,5734.020921,537
121.548044,25.03336092,603,30,6925.373262,590
121.5451419,25.036431,645,28,4147.75766,443
121.5435437,25.03565841,1067,32,9244.807994,614
121.5375974,25.03481559,927,20,10264.43106,865
121.5307099,25.0380833,519,21,7769.334357,811
121.6169898,25.03797778,287,9,35571.36232,433
121.5614983,25.03594088,2630,143,12664.01456,537
121.5747057,25.03369665,1076,11,10816.92994,817
121.5059673,25.03618285,686,33,4942.998586,431
121.5768696,25.0388185,261,39,4674.027327,543
121.5013692,25.03601421,607,33,3414.047426,282
121.4993965,25.03667315,674,38,3590.187169,407
121.5815076,25.03719669,237,25,4464.054615,362
121.5837665,25.0380783,273,17,3516.201172,419
121.5629463,25.0386999,1185,25,10445.07444,297
121.555256,25.03842241,695,26,4939.118891,488
121.5950477,25.03890685,51,1,2921.474312,297
121.5286397,25.03899125,716,20,7521.219634,556
121.548875,25.0414265,1215,46,6189.228018,632
121.5438769,25.04153816,1922,41,7877.800359,540
121.5436686,25.04156176,1206,17,6572.046516,680
