x,y,crash,Restaurants,ATMs,Bars,Bus Stops,Convenience Stores,Department Stores,Greengroceries,Hotels,Market Places,Metro Stations,School,Temples,Household,Intersections,Road length
121.577414,25.064845,6767,64,5,0,0,14,0,0,0,0,0,0,0,269,758,69100.88856
121.542948,25.014732,3446,45,8,0,12,11,0,0,0,1,1,3,0,18,597,36374.37103
121.568535,25.162411,226,5,0,0,0,1,0,0,0,0,0,0,0,32,581,57464.22733
121.583023,25.006527,1358,2,1,1,1,4,0,0,0,1,1,2,0,289,566,54505.97312
121.511736,25.129109,567,1,0,0,0,6,0,0,0,0,0,1,0,141,539,24025.8891
121.583946,24.994786,1000,45,3,1,0,9,0,2,0,1,1,2,0,494,535,38736.91388
121.488193,25.119967,3102,9,1,0,0,1,0,0,0,1,1,0,1,227,533,39531.4822
121.595746,25.069955,1781,20,0,0,6,3,0,0,0,0,0,0,2,388,525,25797.79066
121.59237,25.062342,2334,12,0,0,0,2,0,0,0,0,0,0,0,185,496,48852.35157
121.490883,25.104623,979,8,0,0,0,0,0,0,0,0,0,1,0,24,486,30235.97655
121.535788,25.082361,1780,9,1,0,0,2,0,0,0,0,0,2,0,315,477,38484.72425
121.467555,25.117655,1388,48,0,0,0,8,0,0,0,0,0,0,0,629,464,17771.0541
121.548464,25.138714,1278,76,1,0,0,8,0,0,0,0,0,2,0,197,459,30338.04062
121.613771,25.042939,934,32,0,0,3,3,0,0,0,0,0,1,0,643,437,16521.49781
121.634669,25.028304,592,34,0,0,0,5,0,0,0,0,0,1,0,421,429,40318.98597
121.473214,25.106684,358,3,0,0,0,2,0,0,0,0,0,1,0,134,401,22156.29255
121.561484,25.078018,1893,45,0,1,0,5,1,0,0,0,0,2,0,393,398,23369.62423
121.498812,25.01537,937,14,1,0,0,1,0,0,0,0,0,0,0,358,394,14626.76296
121.474429,25.130233,285,29,3,0,1,7,0,0,0,2,2,2,0,320,381,27343.38643
121.615452,25.093942,2034,1,0,0,0,2,0,0,0,0,0,0,3,162,381,25803.13005
121.516203,25.044399,5296,212,12,2,5,31,1,0,1,3,3,0,0,254,374,20476.83747
121.535035,25.041327,2030,30,2,0,2,6,0,1,0,0,0,0,0,668,368,14524.43109
121.535281,25.092333,3102,22,1,1,1,3,0,0,0,1,1,1,1,231,366,22521.1226
121.526671,25.045488,3117,17,3,2,1,11,0,5,0,1,1,1,0,299,359,18379.59492
121.616055,25.059221,1796,29,3,0,3,9,0,5,0,2,2,1,0,386,359,28993.15215
121.517513,25.07686,1052,3,0,0,0,0,0,1,0,0,0,2,0,409,355,33214.95601
121.586414,25.125681,199,0,0,0,3,0,0,0,0,0,0,1,2,28,353,43898.44848
121.536085,25.130944,553,9,0,0,0,3,0,0,0,0,0,0,1,543,350,22773.73969
121.539568,25.149271,437,8,0,0,0,1,0,0,0,0,0,0,1,43,345,32109.01182
121.52128,25.038048,2170,24,1,0,0,7,0,1,0,0,0,2,1,341,344,14286.37104
121.508501,25.050873,287,20,0,0,0,2,0,0,0,1,1,1,0,269,343,17051.80227
121.521284,25.053157,3210,47,0,2,0,10,0,0,2,1,1,0,0,439,343,12945.20499
121.589517,25.101422,1851,7,0,0,1,3,0,0,0,0,0,0,0,364,343,22153.5738
121.601612,25.02552,284,8,0,0,1,2,0,0,0,0,0,0,0,433,343,35571.36232
121.489916,25.038175,1184,5,0,0,0,1,0,2,0,0,0,0,0,374,335,16516.97729
121.509979,25.075615,892,1,0,0,1,2,0,1,0,0,0,1,1,440,334,29147.18343
121.536043,25.007354,1478,11,0,0,1,4,0,0,0,0,0,1,0,540,332,15805.45465
121.552663,25.10098,975,9,0,0,0,3,0,0,0,0,0,2,0,227,331,22797.22825
121.582974,25.057273,1628,24,0,0,0,5,0,0,0,0,0,1,1,468,321,24610.28092
121.536243,25.027893,2089,6,1,0,2,2,0,0,0,0,0,2,0,408,321,14933.24065
121.531373,25.098583,936,4,0,0,0,2,0,0,0,0,0,1,0,756,320,11717.55342
121.548029,25.179597,424,13,0,0,0,0,0,0,0,0,0,1,0,25,317,49410.03319
121.561124,25.126126,37,0,0,0,0,1,0,0,0,0,0,0,2,39,313,22180.34546
121.59783,25.045102,957,21,2,3,0,8,0,0,0,0,0,0,0,311,311,18605.71031
121.570218,24.986298,821,20,0,0,0,9,0,0,0,0,0,1,0,563,304,13265.73165
121.579132,25.144865,48,4,0,0,2,2,0,1,0,0,0,0,0,38,304,20472.56036
121.553679,25.06614,1705,21,3,0,0,7,0,0,0,1,1,1,1,353,303,15966.81833
121.553209,25.080757,1681,13,1,0,0,4,0,0,1,0,0,0,2,437,302,14331.38079
121.521239,25.122956,971,15,0,0,0,2,0,1,0,0,0,0,0,499,302,12181.81252
121.587011,25.070574,1493,20,0,0,1,2,0,0,0,0,0,2,1,426,297,15370.69645
121.504044,25.143184,345,7,0,0,0,4,0,0,0,0,0,1,0,441,297,11533.74868
121.567652,25.082142,1698,52,0,1,2,15,0,0,0,1,1,2,1,523,296,12498.79792
121.522671,25.113528,741,14,5,0,0,6,0,0,0,0,0,2,0,562,296,10985.36738
121.543218,25.121569,454,0,0,0,0,3,0,0,0,0,0,0,0,233,295,15395.16737
121.502392,25.128586,659,55,0,0,0,5,0,2,0,0,0,0,4,570,294,8487.60208
121.506326,25.047374,2575,32,0,2,0,7,0,0,0,0,0,1,1,277,286,14520.28668
121.57465,25.087677,603,5,0,0,0,1,0,2,0,0,0,1,1,379,286,9343.938482
121.515061,25.09299,2271,6,1,0,0,3,0,0,0,0,0,2,3,481,285,15436.68561
121.532188,25.019697,866,74,1,3,2,5,0,2,0,0,0,0,0,866,284,8646.402884
121.519086,25.096514,1481,16,0,0,0,5,0,0,0,0,0,0,0,537,283,13260.70399
121.505593,25.11864,830,12,0,0,0,3,0,0,0,0,0,1,0,446,283,9272.513781
121.511219,25.045351,2288,48,5,2,1,13,0,0,0,1,1,0,1,264,278,12592.25124
121.542825,25.111514,496,3,0,0,0,2,0,0,0,0,0,2,1,522,277,14028.82165
121.512007,25.038425,179,27,2,0,4,9,0,0,2,1,1,3,0,90,276,12161.65081
121.515827,25.032737,1363,24,1,0,0,5,0,1,0,0,0,0,0,373,276,8342.077259
121.568141,24.973056,2641,3,1,0,0,1,0,0,0,0,0,1,0,18,276,31870.4288
121.546277,25.039714,1220,33,0,0,1,4,0,0,2,1,1,1,0,540,274,7877.800359
121.518607,25.028616,1922,25,4,0,0,7,0,0,0,0,0,0,0,720,274,7973.4721
121.559468,25.089599,927,17,1,0,0,4,0,0,0,0,0,1,0,575,273,13912.49404
121.535272,25.035808,1420,19,0,0,0,5,0,0,0,1,1,1,1,865,273,10264.43106
