no,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,lantai,lokasi,price,title
2,126.0,125.0,3.0,3.0,1.0,Sleman Kab.,2375000000,Perumahan Baru Dalam Ring Road Maguwo Bukan Hyarta - Dijual: Rumah & Apartemen - 921245687
3,150.0,120.0,4.0,3.0,2.0,Sleman Kab.,2145000000,Cluster Mewah 2 Lantai Arkadia Townhouse Maguwo - Dijual: Rumah & Apartemen - 921706074
4,140.0,160.0,3.0,2.0,1.0,Sleman Kab.,960000000,dijual tanah bonus rumah pinggir jalan raya hook dkt plaza Ambarukmo - Dijual: Rumah & Apartemen - 906277324
5,135.0,168.0,4.0,2.0,2.0,Sleman Kab.,1650000000,Rumah Siap Huni 4 Kamar Halaman Luas - Dijual: Rumah & Apartemen - 921804429
7,70.0,79.0,3.0,2.0,1.0,Yogyakarta Kota,808000000,Rumah 2 Lantai Dijual 3 Menit Dari Jalan Wonosari Sekarsuli SHM - Dijual: Rumah & Apartemen - 921802388
8,185.0,126.0,4.0,3.0,2.0,Sleman Kab.,1550000000,Rumah Strategis Akses Mudah di Condongcatur - Dijual: Rumah & Apartemen - 919707377
9,120.0,124.0,3.0,1.0,1.0,Yogyakarta Kota,875000000,JUAL MURAH RUMAH DI WIROSABAN KOTA JOGJA - Dijual: Rumah & Apartemen - 921800398
10,203.0,149.0,4.0,3.0,2.0,Yogyakarta Kota,1300000000,"Rumah Mewah Jl.Solo Dekat Babarsari, Seturan, UPN, Ringroad Utara - Dijual: Rumah & Apartemen - 921799192"
11,83.0,139.0,2.0,2.0,2.0,Yogyakarta Kota,1300000000,"Rumah Mewah Jl Nitikan Dekat Jl Tamansiswa, Jl Veteran Jogja - Dijual: Rumah & Apartemen - 921799162"
12,213.0,246.0,5.0,1.0,1.0,Yogyakarta Kota,1900000000,"Rumah Wirobrajan, Dekat Malioboro, Cokroaminoto, SMAN 1 Jogja - Dijual: Rumah & Apartemen - 921799143"
13,170.0,250.0,9.0,8.0,1.0,Yogyakarta Kota,2400000000,JUAL KOST AREA TIMOHO KOTA JOGJAKARTA - Dijual: Rumah & Apartemen - 921799109
14,350.0,222.0,5.0,4.0,2.0,Yogyakarta Kota,2250000000,"Rumah Perwita Regency Dekat Jl. Parangtritis, Ringroad Selatan, ISI - Dijual: Rumah & Apartemen - 921799093"
15,252.0,149.0,6.0,6.0,2.0,Yogyakarta Kota,2800000000,"Rumah Tegalrejo Dekat Jl Hos Cokroaminoto, Jl Godean, Alun-alun - Dijual: Rumah & Apartemen - 921799075"
16,80.0,233.0,3.0,2.0,2.0,Yogyakarta Kota,2800000000,"Perumahan Mewah Green Hills Dekat Jl Kaliurang, Jl Lempongsari - Dijual: Rumah & Apartemen - 921799056"
17,200.0,582.0,2.0,2.0,1.0,Yogyakarta Kota,3750000000,Rumah Luas Dekat Malioboro 600 Meter Kodya - Dijual: Rumah & Apartemen - 920700411
21,202.0,398.0,6.0,3.0,1.0,Yogyakarta Kota,2500000000,Rumah Nagan Dekat Beteng Kraton Dekat Alun-alun Jogja - Dijual: Rumah & Apartemen - 921799012
22,90.0,170.0,3.0,3.0,1.0,Sleman Kab.,1600000000,Rumah Nyaman dan Luas di Perumahan Casa Bella - Dijual: Rumah & Apartemen - 902624987
23,64.0,32.0,2.0,1.0,1.0,Yogyakarta Kota,375000000,RUMAH CANTIK MINIMALIS 2 LANTAI AREA REJOWINANGUN KOTAGEDE KODYA - Dijual: Rumah & Apartemen - 921797656
24,86.0,148.0,3.0,1.0,1.0,Sleman Kab.,675000000,RUMAH MURAH CANTIK MINIMALIS SIAP HUNI AREA TAJEM MAGUWOHARJO - Dijual: Rumah & Apartemen - 921797273
25,62.0,100.0,2.0,1.0,1.0,Yogyakarta Kota,1200000000,Rumah Dijual di pusat kota Jogja - Dijual: Rumah & Apartemen - 921796520
28,180.0,90.0,3.0,2.0,2.0,Yogyakarta Kota,850000000,Rumah Strategis 2 Lantai Di Utara XT Square Umbulharjo Yogyakarta - Dijual: Rumah & Apartemen - 921794486
30,80.0,110.0,3.0,2.0,1.0,Sleman Kab.,774000000,Rumah Mewah dalam perumahan di Purwomartani - Dijual: Rumah & Apartemen - 921794171
32,225.0,135.0,7.0,4.0,1.0,Sleman Kab.,3250000000,Rumah Murah 3 Lantai Cocok Untuk Homestay Dan Kost Lokasi Dkt Ugm Uny - Dijual: Rumah & Apartemen - 917814068
34,100.0,250.0,2.0,2.0,2.0,Yogyakarta Kota,2750000000,Private villa with pool di daerah cocok.. Berkembang - Dijual: Rumah & Apartemen - 895568881
35,24.0,26.0,1.0,1.0,7.0,Sleman Kab.,345000000,Jual BU Apartemen Full Furnish - Dijual: Rumah & Apartemen - 920984667
37,30.0,90.0,2.0,1.0,1.0,Yogyakarta Kota,180000000,Perumahan Murah Berkualitas Bisa KPR Tampingan Magelang - Dijual: Rumah & Apartemen - 917813986
49,250.0,487.0,9.0,8.0,1.0,Sleman Kab.,3700000000,Di jual Rumah induk dan kos kosan di jalan utama - Dijual: Rumah & Apartemen - 917868630
50,620.0,838.0,10.0,9.0,1.0,Yogyakarta Kota,10000000000,"Rumah Homestay SHM di Mantrijeron dkt Malioboro,Kraton - Dijual: Rumah & Apartemen - 921135120"
51,1100.0,587.0,5.0,10.0,4.0,Yogyakarta Kota,19500000000,Cocok untuk SHOWROOM BAKPIA PATHUK DI NGAMPILAN - Dijual: Rumah & Apartemen - 921553556
52,500.0,339.0,10.0,9.0,1.0,Sleman Kab.,5798000000,RUMAH DISETURAN JUAL SEISINYA - Dijual: Rumah & Apartemen - 919274355
56,46.0,76.0,2.0,1.0,1.0,Yogyakarta Kota,449000000,Rumah Murah dekat Jl imogiri Barat 15 menit ke Kota jogja - Dijual: Rumah & Apartemen - 921786945
57,92.0,108.0,3.0,2.0,1.0,Sleman Kab.,890000000,Rumah Desain Mewah 10 menit ke Maguwoharjo - Dijual: Rumah & Apartemen - 921786824
58,49.0,86.0,3.0,1.0,1.0,Sleman Kab.,465000000,Rumah Murah 400jutaan 15 menit ke Ambarukmo Plaza - Dijual: Rumah & Apartemen - 921786663
59,50.0,80.0,2.0,1.0,1.0,Yogyakarta Kota,569000000,"dijual rumah baru, strategis dimantrijeron. mobil masuk - Dijual: Rumah & Apartemen - 913414536"
60,70.0,115.0,2.0,2.0,1.0,Yogyakarta Kota,525000000,"Rumah strategis di Kenten Hill, jalan Sukarejo, 8 ilir, kota Palembang - Dijual: Rumah & Apartemen - 913460315"
61,200.0,198.0,3.0,2.0,2.0,Yogyakarta Kota,4250000000,Jual Ruko / Tempat Usaha Jalan Mentri Supeno Yogyakarta - Dijual: Rumah & Apartemen - 921786414
62,220.0,208.0,5.0,4.0,1.0,Yogyakarta Kota,2900000000,Rumah Barat Malioboro Yogyakarta - Dijual: Rumah & Apartemen - 913416149
63,140.0,275.0,6.0,3.0,1.0,Yogyakarta Kota,2300000000,Rumah Tengah Kota Yogyakarta - Dijual: Rumah & Apartemen - 913414007
64,115.0,116.0,3.0,2.0,1.0,Sleman Kab.,1850000000,"Dekat Stadion Maguwoharjo, Rumah Baru Dijual, Mewah Full Furnished - Dijual: Rumah & Apartemen - 921525533"
65,150.0,239.0,4.0,2.0,1.0,Sleman Kab.,1890000000,TANAH & RUMAH DEMANGAN BARU - Dijual: Rumah & Apartemen - 913664648
67,120.0,137.0,3.0,2.0,2.0,Sleman Kab.,1950000000,"Rumah Pondok Permai Blok O Jalan Maguwo, Perumahan Elite Fasum Lengkap - Dijual: Rumah & Apartemen - 918926270"
68,45.0,88.0,2.0,1.0,1.0,Yogyakarta Kota,378000000,Dijual Rumah SHM Pribadi 5 Menit Dari UMY Akses Lancar - Dijual: Rumah & Apartemen - 919666769
69,185.0,165.0,5.0,5.0,1.0,Yogyakarta Kota,2670000000,"Perumahan Mewah Jogja, Dekat Kampus ISI, Angsuran Mulai 8 JUTAAN SAJA! - Dijual: Rumah & Apartemen - 915620683"
70,150.0,120.0,4.0,4.0,1.0,Yogyakarta Kota,2032000000,"Hunian Mewah Laguna Spring, Dekat Pusat Kota Jogja, DP Mulai 100 JTan - Dijual: Rumah & Apartemen - 915620509"
71,45.0,92.0,2.0,1.0,1.0,Yogyakarta Kota,382000000,Jual Cepat Rumah 1 Lantai Akses Mobil Papasan Free Balik Nama - Dijual: Rumah & Apartemen - 919666668
72,40.0,84.0,2.0,1.0,1.0,Yogyakarta Kota,631400000,Rumah Cluster di Jogja - Dijual: Rumah & Apartemen - 917784018
73,40.0,89.0,2.0,1.0,1.0,Yogyakarta Kota,650900000,Jual Cluster Rumah Mewah di Godean Jogja - Dijual: Rumah & Apartemen - 917783383
74,40.0,79.0,3.0,2.0,1.0,Yogyakarta Kota,591900000,Cluster Rumah 2 Lantai Dijual di Gamping Sleman - Dijual: Rumah & Apartemen - 917781701
75,40.0,81.0,3.0,2.0,1.0,Yogyakarta Kota,600900000,Jual Cluster Rumah Bonus Umroh Selatan Kampus Umy - Dijual: Rumah & Apartemen - 917781255
76,75.0,81.0,3.0,2.0,1.0,Yogyakarta Kota,768300000,Jual Cluster Rumah dekat Kampus Umy Jogja - Dijual: Rumah & Apartemen - 917780828
77,75.0,76.0,3.0,2.0,1.0,Yogyakarta Kota,773700000,Dijual Cluster Rumah Mewah Dekat Malioboro Jogja - Dijual: Rumah & Apartemen - 917780312
78,75.0,84.0,3.0,2.0,1.0,Yogyakarta Kota,818800000,Cluster Rumah Mewah Dijual di Sleman Jogja - Dijual: Rumah & Apartemen - 917779477
80,154.0,135.0,4.0,2.0,2.0,Yogyakarta Kota,1500000000,Di Jual Rumah Tinggal - Dijual: Rumah & Apartemen - 921721288
81,307.0,403.0,6.0,6.0,2.0,Yogyakarta Kota,3900000000,DIJUAL HOMESTAY & GUEST HOUSE FULL FURNISHED - Dijual: Rumah & Apartemen - 917037593
83,75.0,89.0,3.0,2.0,1.0,Yogyakarta Kota,812700000,Cluster Rumah Dijual di Jogja Dekat Rs Pku Muhammadiyah - Dijual: Rumah & Apartemen - 917779167
84,75.0,79.0,3.0,2.0,1.0,Yogyakarta Kota,782700000,Dijual Perumahan 2 Lantai di Jogja Dekat Malioboro - Dijual: Rumah & Apartemen - 917778551
85,75.0,81.0,3.0,2.0,1.0,Yogyakarta Kota,788300000,Perumahan 2 Lantai Dijual di Jogjakarta - Dijual: Rumah & Apartemen - 917778015
87,650.0,500.0,5.0,7.0,1.0,Yogyakarta Kota,10000000000,"Villa strategis dijual di tengah kota Yogyakarta, Full Furnished - Dijual: Rumah & Apartemen - 915115130"
88,45.0,82.0,2.0,1.0,1.0,Yogyakarta Kota,383000000,Cluster Minimalis Free Balik Nama Lokasi Strategis Dekat Ringroad UMY - Dijual: Rumah & Apartemen - 919656880
89,45.0,80.0,2.0,1.0,1.0,Yogyakarta Kota,378500000,Rumah dlm Cluster Gaya Modern Legalitas SHM Dekat UMY - Dijual: Rumah & Apartemen - 919656670
90,138.0,101.0,3.0,3.0,2.0,Sleman Kab.,1900080909,"RUMAH MEWAH CLUSTER DEKAT JOMBOR,CEBONGAN,JALAN MAGELANG - Dijual: Rumah & Apartemen - 921785334"
91,55.0,125.0,2.0,2.0,1.0,Yogyakarta Kota,1000000000,"Rumah Siap Bangun, Jogja Kota, Dalam Ringroad Jl. Bantul - Dijual: Rumah & Apartemen - 914906785"
92,1101.0,103.0,4.0,2.0,2.0,Sleman Kab.,1475000000,"Rumah cluster di maguwoharjo dekat jogjabay,condongcatur tajem - Dijual: Rumah & Apartemen - 921785137"
95,22.0,0.0,1.0,1.0,8.0,Sleman Kab.,575000000,DIJUAL STUDIO APARTEMEN TAMAN MELATI UGM - Dijual: Rumah & Apartemen - 916509945
97,200.0,250.0,5.0,4.0,1.0,Yogyakarta Kota,3250000000,Rumah Mewah 2 Lantai Tanah Luas Siap Bangun Di Mantrijeron Jogja - Dijual: Rumah & Apartemen - 920045613
98,160.0,110.0,3.0,2.0,1.0,Sleman Kab.,1100000000,DIJUAL RUMAH MODERN DEKAT HOTEL SHERATON MAGUWOHARJO MENANTI ANDA - Dijual: Rumah & Apartemen - 921780631
100,47.0,86.0,2.0,1.0,1.0,Yogyakarta Kota,675115000,Dijual Sisa 2 Kavling Terakhir Rumah di Potorono Banguntapan KPR SHM - Dijual: Rumah & Apartemen - 921780523
102,160.0,118.0,4.0,3.0,2.0,Sleman Kab.,1780000000,Rumah Baru di Maguwoharjo Dalam Ring Road Dekat Kampus UPN - Dijual: Rumah & Apartemen - 916609420
103,70.0,85.0,3.0,2.0,1.0,Yogyakarta Kota,890000000,Perumahan 2 Lantai Murah di Jalan Pleret Banguntapan 15Mnt ke Giwangan - Dijual: Rumah & Apartemen - 919657409
105,140.0,120.0,3.0,3.0,2.0,Yogyakarta Kota,1850000000,Rumah modern 2lt daerah Taman Siswa Tengah kota jogja - Dijual: Rumah & Apartemen - 921772065
107,135.0,200.0,4.0,3.0,1.0,Sleman Kab.,1650000000,"Rumah Mewah Tajem Maguwo, Dekat Lotte Mart Jogja - Dijual: Rumah & Apartemen - 919666267"
108,500.0,400.0,9.0,6.0,1.0,Yogyakarta Kota,7000000000,Dijual cepat Rumah mewah luxury luas di pusat kota jogja - Dijual: Rumah & Apartemen - 915045338
109,500.0,364.0,8.0,5.0,1.0,Sleman Kab.,8499000000,"Rumah Klasik Strategis Kawasan Elite Demangan Baru Dekat UGM, AMPLAZ - Dijual: Rumah & Apartemen - 920369219"
111,154.0,132.0,4.0,2.0,2.0,Yogyakarta Kota,1500000000,Di Jual Rumah Tinggal - Dijual: Rumah & Apartemen - 921491250
